,index,Company,Website,Source,Description,Location,SDG Goal,five Ps,Rainmaking SDG Subtopic,Impact Statement,Location of Impact,Primary SDG,Additional SDGs,sub target,Source link,Multy label
0,0,Wetap,https://www.wetap.dk/,Plus impact,"We offer water fountains for crowded places like city centres and festivals, so people can hygienically fill own water bottle or cup with cool refreshing water instead of buying single used water bottles. The solutions can be custom made to fit in any area and can be delivered with payment solution. When reducing single use plastics, we save on energy for production, transportation cost and handling of waste. Drink at km 0! One Wetap water fountain can yearly save the environment for 730.000 0,5 liters single used plastic bottles. The water fountains complies with Covid-19 regulations and recommendations to avoid contagion as there is no direct contact with the nozzle that delivers water. Our installations is doted with filters eliminating micro-plastics in water up to 0.2 micron. Its functionality will decrease the waiting time of getting a drink and reduce queues, but above all we are focused on providing environmental friendly solutions. We also provide an in-app method of paying, available to use with our PCUP digital mug , thanks to its built-in chip, paying and choosing the drink will take few seconds, reducing the waiting time for getting a drink. The mug can be used more than 2000 times without quality loss and applies with all safety regulations for stadiums. We live in a throw-away society which is dominated by consumerism, and we are producing a tremendous amount of waste. Our motivation is to take part in the transition towards a more circular future. Our ultimate vision is a waste free world, where 100% of the waste we produce is recycled – or even better not produced where its possible!",Aabenraa,"6,11,12,",,,,,,,,https://plusimpact.io/startups/wetap,1
1,1,HadbiFY AB,http://www.hadbify.com,Plus impact,"HadbiFY is developing an AI Medical smartwatch that predicts Myocardial infarction, stroke and prevents fall downs for ageing people with chronic disease and dementia. Our solution enables SOS autoalarm services if the health of the user is deteriorated by a connected healthcare App and dashboard that tracks and monitors wearer health trends in real time. Our health caregiver assistant provides help and support during 24/7 on a daily basis.",Sweden,"3,5,",,,,,,,,https://plusimpact.io/startups/hadbify-ab,1
2,2,EVLedger,https://www.evledger.com/,Plus impact,"EVLedger builds a tool for performing third-party verification of battery data with Blockchain technology. Our vision is to ensure complete trust between industry actors as well as individual battery users in the battery technology space and allow for individual cell performance traceability. The tool enables second life applications, trading and sustainable recycling for many types of batteries. It also verifies individual battery health and champions ethical and environmentally friendly extraction processes for battery minerals.",Sweden,"7,9,",,,,,,,,https://plusimpact.io/startups/evledger,1
3,3,Fooin,https://fooin.io/,Plus impact,"We want to reduce the food waste and increase the transparency in the food industry. This revolution is achieved by innovative technology and digital solutions. Our vision is that no food shall be forgotten, nor wasted.",Sweden,"2,12,",,,,,,,,https://plusimpact.io/startups/fooin,1
4,4,Fremby,https://fremby.no/,Plus impact,"Fremby is a technology company that started in 2017 with the aim of making companies and projects in the construction industry more sustainable. Fremby has extensive industry experience in the entrepreneurial team and among our investors. We have built technology companies for the industry in the past. We are now working closely with CAT, Volvo, Komatsu, JCB, Hitatchi and their dealers in Norway to present data in a common platform. We believe in collaboration and sharing. This is reflected in our products and the way we develop them. User-friendly tools are best developed in close collaboration with the customer. The data we collect can enable many ideas for a greener industry.",Norway,"9,15,",,,,,,,,https://plusimpact.io/startups/fremby,1
5,5,WOHN,https://www.wohnhomes.com/,Plus impact,"WOHN provides Affordable Tiny Homes, 3D printed from up-cycled waste plastic. WOHN supplies affordable modular homes designed for user comfort and well being. The homes bring aesthetics & quality of life into a condensed living making sustainable & re-densified cities possible.",Sorø,"1,11,12,",,,,,,,,https://plusimpact.io/startups/wohn,1
6,6,Saveggy,https://saveggy.com,Plus impact,Vision: save the planet and feed people Mission: reduce fresh food loss and waste along the supply chain through sustainable solutions Product: A bio-based food safe coating layer that extends the shelf-life of fresh food significantly,Sweden,"2,3,12,",,,,,,,,https://plusimpact.io/startups/saveggy,1
7,7,Jamii.one,http://jamii.one,Plus impact,"Jamii.one is developing a digital platform to enable unbanked people access to the financial system. In low-income communities, a popular and established method of saving up is to join a savings group where you save up as a community rather than individually. Our app is built to digitalise and support these groups. Group members can use our app to record their savings and lending history, which creates a unique credit score. This credit score enables our users to gain access to financial services that they have previously been excluded from. The groups also learn business skills and how to use technology, empowering them to improve their future. Our app is co-created with more than 600 people in savings groups, basing the solution on their needs and abilities. They define the structure; we provide the tech and build the bridge between up to 1 billion people and the financial system.",København,"1,5,8,",,,,,,,,https://plusimpact.io/startups/jamiione,1
8,8,Skosh,https://skosh.se/,Plus impact,"Let’s make cleaning plastic free! Skosh is innovating the surface cleaning liquid market by making it more sustainable and convenient. Our product consists out of two parts: Firstly, a high-quality reusable spray bottle that is designed to last forever. Secondly, a cleaning tablet that leaves our customers with effective non-toxic cleaning liquid after dissolved in tap-water.",Sweden,"12,14,15,",,,,,,,,https://plusimpact.io/startups/skosh-1,1
9,9,Energy Machines,http://www.energymachines.com,Plus impact,40% of all energy goes into buildings and about 30% of it is wasted every day. We are building hardware/software that enables building owners to take charge of reducing their carbon footprint and save on energy costs. We have offices in Sweden and our HQ is at BLOX in Copenhagen. Join us if you are interested in tackling the greatest challenge in our generation.,København,"7,11,13,",,,,,,,,https://plusimpact.io/startups/energy-machines-2,1
