results_25_tweets:
Step	Training Loss	Validation Loss	F1 Weighted	F1 Macro	F1 Micro	Kl Div	Js Div	Rmse
500	    3.826800	4.353590	0.350977	0.042532	0.515748	9.336662	0.207193	0.121247
1000	4.022500	3.996508	0.350977	0.042532	0.515748	9.336662	0.207193	0.121247
1500	3.925100	2.874686	0.349204	0.042318	0.511811	9.132139	0.203585	0.120356
2000	2.724800	2.381741	0.383246	0.072647	0.535433	8.414993	0.183597	0.108552
2500	1.640500	3.336420	0.401583	0.061293	0.507874	7.629419	0.184539	0.079198
3000	1.860100	2.874821	0.406444	0.079794	0.527559	6.214386	0.138094	0.083341
3500	1.402900	2.785752	0.430795	0.092781	0.511811	6.196842	0.137130	0.063455
4000	1.417700	3.759780	0.412861	0.086637	0.507874	6.180436	0.131194	0.070293
4500	1.316900	3.059907	0.455674	0.095067	0.523622	2.301811	0.075929	0.044619
5000	1.083200	3.518953	0.445161	0.104319	0.523622	4.247309	0.109972	0.053629
5500	1.023100	4.003118	0.471506	0.129299	0.531496	3.254128	0.079993	0.043545
6000	1.083000	3.009568	0.455510	0.134425	0.472441	2.687628	0.089621	0.052280
6500	0.975500	5.784074	0.455952	0.123651	0.507874	2.558463	0.076980	0.048503
7000	0.953300	4.774030	0.502805	0.185098	0.511811	1.219997	0.048090	0.032571
7500	0.809800	5.493870	0.509735	0.185815	0.511811	1.291715	0.052723	0.033587
8000	0.696100	5.594859	0.488864	0.181728	0.488189	1.027933	0.044469	0.022616
8500	0.587600	6.842871	0.493534	0.198489	0.488189	0.976987	0.052154	0.031850
9000	0.587400	8.271448	0.495148	0.190705	0.492126	0.880890	0.045823	0.037327
9500	0.363400	7.876730	0.486079	0.160891	0.496063	0.455480	0.044948	0.030439
10000	0.268200	8.496536	0.519760	0.199365	0.523622	0.589017	0.034882	0.021363
10500	0.202700	8.896880	0.492787	0.174138	0.480315	0.362827	0.028099	0.030383
11000	0.149400	9.274356	0.511533	0.213206	0.511811	0.284297	0.021919	0.022578
11500	0.113000	10.623123	0.486705	0.192578	0.484252	0.559487	0.040754	0.022994
12000	0.087200	10.229086	0.498151	0.223022	0.480315	0.168874	0.027842	0.020791
12500	0.100800	9.579872	0.507266	0.182347	0.503937	0.519500	0.032621	0.026959
13000	0.027100	10.216477	0.501613	0.191583	0.507874	0.543388	0.037807	0.024127
13500	0.016800	10.509869	0.499373	0.195434	0.496063	0.326324	0.031695	0.019729
14000	0.019000	10.826503	0.497201	0.186469	0.492126	0.348733	0.035870	0.021120
14500	0.014900	10.549659	0.495067	0.187869	0.488189	0.293268	0.025494	0.017410
15000	0.000200	10.630918	0.501832	0.191877	0.496063	0.337737	0.033146	0.020667

results_25_tweets_5ps:
Step	Training Loss	Validation Loss	F1 Weighted	F1 Macro	F1 Micro	Kl Div	Js Div	Rmse
500	    3.168800	3.429779	0.350977	0.113420	0.515748	9.864511	0.207193	0.230015
1000	3.103400	3.192172	0.350977	0.113420	0.515748	9.864511	0.207193	0.230015
1500	3.317500	3.247602	0.350977	0.113420	0.515748	9.864511	0.207193	0.230015
2000	3.132600	3.161306	0.350977	0.113420	0.515748	9.864511	0.207193	0.230015
2500	2.964800	2.847450	0.350977	0.113420	0.515748	9.864511	0.207193	0.230015
3000	2.928700	3.254549	0.350977	0.113420	0.515748	9.864511	0.207193	0.230015
3500	2.606900	2.111866	0.483830	0.214436	0.582677	6.720032	0.140536	0.141001
4000	2.398900	3.142839	0.497448	0.229531	0.606299	2.104180	0.107375	0.135660
4500	2.090300	2.634195	0.569897	0.282579	0.633858	1.851253	0.052810	0.098949
5000	1.665900	2.108638	0.563813	0.280994	0.610236	1.042464	0.035117	0.075010
